postalCode,borough,latZIP,lonZIP
10001,MANHATTAN,40.750422,-73.996328
10002,MANHATTAN,40.718758,-73.986427
10003,MANHATTAN,40.730223,-73.988564
10004,MANHATTAN,40.7038704,-74.0160428
10005,MANHATTAN,40.706903,-74.008654
10006,MANHATTAN,40.708834,-74.013168
10007,MANHATTAN,40.713941,-74.007401
10009,MANHATTAN,40.72775,-73.980396
10010,MANHATTAN,40.739024,-73.983542
10011,MANHATTAN,40.740916,-73.999769
10012,MANHATTAN,40.729124,-73.991582
10013,MANHATTAN,40.722105,-74.003497
10014,MANHATTAN,40.738088,-74.005095
10015,MANHATTAN,40.713906,-74.010199
10016,MANHATTAN,40.745527,-73.978449
10017,MANHATTAN,40.752955,-73.973196
10018,MANHATTAN,40.755332,-73.993172
10019,MANHATTAN,40.765926,-73.985443
10020,MANHATTAN,40.735449,-73.996788
10021,MANHATTAN,40.768823,-73.960257
10022,MANHATTAN,40.758775,-73.967842
10023,MANHATTAN,40.776765,-73.982213
10024,MANHATTAN,40.80813,-73.965653
10025,MANHATTAN,40.798664,-73.967778
10026,MANHATTAN,40.802918,-73.953107
10027,MANHATTAN,40.812242,-73.9532
10028,MANHATTAN,40.776629,-73.953914
10029,MANHATTAN,40.791884,-73.943517
10030,MANHATTAN,40.818474,-73.94329
10031,MANHATTAN,40.823438,-73.949039
10032,MANHATTAN,40.839137,-73.942181
10033,MANHATTAN,40.851293,-73.934764
10034,MANHATTAN,40.863194,-73.926959
10035,MANHATTAN,40.801913,-73.9347
10036,MANHATTAN,40.75953,-73.989847
10037,MANHATTAN,40.813884,-73.938498
10038,MANHATTAN,40.710223,-74.003368
10039,MANHATTAN,40.826736,-73.939398
10040,MANHATTAN,40.858692,-73.930999
10041,MANHATTAN,40.703801,-74.009814
10044,MANHATTAN,40.761812,-73.950521
10045,MANHATTAN,40.70859,-74.008687
10048,MANHATTAN,40.71254,-74.013289
10055,MANHATTAN,40.780751,-73.977182
10060,MANHATTAN,40.750144,-73.99787
10069,MANHATTAN,40.777952,-73.988381
10090,MANHATTAN,40.755221,-73.99342
10095,MANHATTAN,40.750252,-73.989968
10098,MANHATTAN,40.71389,-74.010183
10099,MANHATTAN,40.750148,-73.997874
10103,MANHATTAN,40.760264,-73.97624
10104,MANHATTAN,40.76071,-73.97936
10105,MANHATTAN,40.762808,-73.978534
10106,MANHATTAN,40.765243,-73.980438
10107,MANHATTAN,40.766429,-73.982728
10110,MANHATTAN,40.753987,-73.980811
10111,MANHATTAN,40.759224,-73.977762
10112,MANHATTAN,40.759287,-73.979808
10115,MANHATTAN,40.811115,-73.96423
10118,MANHATTAN,40.748998,-73.986467
10119,MANHATTAN,40.780751,-73.977182
10120,MANHATTAN,40.750629,-73.989426
10121,MANHATTAN,40.74964,-73.991889
10122,MANHATTAN,40.751757,-73.992171
10123,MANHATTAN,40.751489,-73.990537
10128,MANHATTAN,40.780989,-73.95158
10151,MANHATTAN,40.763419,-73.973971
10152,MANHATTAN,40.758937,-73.97302
10153,MANHATTAN,40.764068,-73.97348
10154,MANHATTAN,40.758304,-73.973468
10155,MANHATTAN,40.761104,-73.968036
10158,MANHATTAN,40.749435,-73.9758
10161,MANHATTAN,40.74841,-74.00453
10162,MANHATTAN,40.769945,-73.951117
10165,MANHATTAN,40.752351,-73.979132
10166,MANHATTAN,40.75341,-73.9772
10167,MANHATTAN,40.754858,-73.97497
10168,MANHATTAN,40.751933,-73.976794
10169,MANHATTAN,40.75474,-73.976595
10170,MANHATTAN,40.752621,-73.97548
10171,MANHATTAN,40.756447,-73.974821
10172,MANHATTAN,40.755839,-73.975279
10173,MANHATTAN,40.754305,-73.979564
10174,MANHATTAN,40.751656,-73.97516
10175,MANHATTAN,40.754305,-73.979782
10176,MANHATTAN,40.75557,-73.978877
10177,MANHATTAN,40.755332,-73.976082
10178,MANHATTAN,40.751378,-73.978507
10199,MANHATTAN,40.726137,-73.979449
10270,MANHATTAN,40.705375,-74.008945
10271,MANHATTAN,40.708918,-74.011066
10278,MANHATTAN,40.780751,-73.977182
10279,MANHATTAN,40.712697,-74.007812
10280,MANHATTAN,40.708857,-74.016217
10281,MANHATTAN,40.714643,-74.014958
10282,MANHATTAN,40.716597,-74.01459
10301,STATEN ISLAND,40.623632,-74.093323
10302,STATEN ISLAND,40.628923,-74.137947
10303,STATEN ISLAND,40.631697,-74.165016
10304,STATEN ISLAND,40.608389,-74.093684
10305,STATEN ISLAND,40.596828,-74.077837
10306,STATEN ISLAND,40.559668,-74.12241
10307,STATEN ISLAND,40.510723,-74.24194
10308,STATEN ISLAND,40.551191,-74.148893
10309,STATEN ISLAND,40.531767,-74.218779
10310,STATEN ISLAND,40.632943,-74.118669
10311,STATEN ISLAND,40.6038,-74.182366
10312,STATEN ISLAND,40.545163,-74.174692
10314,STATEN ISLAND,40.591006,-74.150741
10451,BRONX,40.819329,-73.920355
10452,BRONX,40.838729,-73.921605
10453,BRONX,40.852728,-73.912455
10454,BRONX,40.807129,-73.918405
10455,BRONX,40.815029,-73.908355
10456,BRONX,40.830529,-73.908655
10457,BRONX,40.846129,-73.898255
10458,BRONX,40.864728,-73.889855
10459,BRONX,40.825629,-73.893605
10460,BRONX,40.841829,-73.879004
10461,BRONX,40.845279,-73.843103
10462,BRONX,40.842729,-73.854703
10463,BRONX,40.879528,-73.904355
10464,BRONX,40.863028,-73.799802
10465,BRONX,40.826879,-73.825153
10466,BRONX,40.859878,-73.841003
10467,BRONX,40.876328,-73.870404
10468,BRONX,40.870978,-73.900505
10469,BRONX,40.869978,-73.844903
10470,BRONX,40.87143,-73.862303
10471,BRONX,40.899178,-73.898677
10472,BRONX,40.829529,-73.865704
10473,BRONX,40.816229,-73.860304
10474,BRONX,40.813929,-73.884104
10475,BRONX,40.874878,-73.827653
11004,QUEENS,40.745263,-73.711159
11101,QUEENS,40.744622,-73.934502
11102,QUEENS,40.770808,-73.92516
11103,QUEENS,40.761884,-73.911642
11104,QUEENS,40.742794,-73.918216
11105,QUEENS,40.776468,-73.908761
11106,QUEENS,40.760601,-73.930984
11109,QUEENS,40.651378,-73.870779
11201,BROOKLYN,40.694481,-73.989319
11203,BROOKLYN,40.663551,-73.949389
11204,BROOKLYN,40.603838,-73.987635
11205,BROOKLYN,40.682507,-73.936274
11206,BROOKLYN,40.700453,-73.949255
11207,BROOKLYN,40.670925,-73.895216
11208,BROOKLYN,40.662195,-73.912945
11209,BROOKLYN,40.622459,-74.028749
11210,BROOKLYN,40.625468,-73.945521
11211,BROOKLYN,40.707789,-73.945344
11212,BROOKLYN,40.663845,-73.916406
11213,BROOKLYN,40.67317,-73.936055
11214,BROOKLYN,40.599523,-73.998594
11215,BROOKLYN,40.664322,-73.984132
11216,BROOKLYN,40.680474,-73.946829
11217,BROOKLYN,40.684948,-73.980613
11218,BROOKLYN,40.64434,-73.978411
11219,BROOKLYN,40.633157,-73.996953
11220,BROOKLYN,40.634873,-74.016905
11221,BROOKLYN,40.700418,-73.936764
11222,BROOKLYN,40.728388,-73.945754
11223,BROOKLYN,40.633801,-73.954405
11224,BROOKLYN,40.635444,-73.968536
11225,BROOKLYN,40.661096,-73.952295
11226,BROOKLYN,40.644962,-73.956304
11228,BROOKLYN,40.624552,-73.989853
11229,BROOKLYN,40.600988,-73.939998
11230,BROOKLYN,40.62251,-73.966109
11231,BROOKLYN,40.676521,-74.003322
11232,BROOKLYN,40.671186,-73.971708
11233,BROOKLYN,40.682088,-73.920638
11234,BROOKLYN,40.610947,-73.913892
11235,BROOKLYN,40.584455,-73.948402
11236,BROOKLYN,40.65701,-73.91581
11237,BROOKLYN,40.702192,-73.91807
11238,BROOKLYN,40.680593,-73.963928
11239,BROOKLYN,40.649207,-73.876754
11241,BROOKLYN,40.645099,-73.945032
11242,BROOKLYN,40.645099,-73.945032
11243,BROOKLYN,40.681994,-73.979729
11249,BROOKLYN,40.645099,-73.945032
11252,BROOKLYN,40.62537,-74.0313
11256,BROOKLYN,40.694288,-73.990717
11351,QUEENS,40.781602,-73.83212
11354,QUEENS,40.766382,-73.82619
11355,QUEENS,40.750317,-73.813903
11356,QUEENS,40.784369,-73.843641
11357,QUEENS,40.786173,-73.819069
11358,QUEENS,40.760426,-73.795788
11359,QUEENS,40.79278,-73.776701
11360,QUEENS,40.756745,-73.803301
11361,QUEENS,40.764438,-73.773026
11362,QUEENS,40.758364,-73.735759
11363,QUEENS,40.771467,-73.745323
11364,QUEENS,40.742772,-73.758831
11365,QUEENS,40.738884,-73.790067
11366,QUEENS,40.727277,-73.790772
11367,QUEENS,40.730164,-73.821997
11368,QUEENS,40.748751,-73.854333
11369,QUEENS,40.762741,-73.869969
11370,QUEENS,40.763771,-73.891451
11371,QUEENS,40.7712,-73.867514
11372,QUEENS,40.751146,-73.882508
11373,QUEENS,40.73509,-73.877562
11374,QUEENS,40.722861,-73.862069
11375,QUEENS,40.723041,-73.843688
11377,QUEENS,40.748372,-73.905445
11378,QUEENS,40.722848,-73.908413
11379,QUEENS,40.71924,-73.892791
11385,QUEENS,40.702404,-73.885979
11411,QUEENS,40.685535,-73.737064
11412,QUEENS,40.695829,-73.761747
11413,QUEENS,40.664542,-73.755926
11414,QUEENS,40.658825,-73.84382
11415,QUEENS,40.707133,-73.829247
11416,QUEENS,40.684546,-73.850708
11417,QUEENS,40.675056,-73.844315
11418,QUEENS,40.698566,-73.83127
11419,QUEENS,40.686769,-73.822979
11420,QUEENS,40.674432,-73.819013
11421,QUEENS,40.691917,-73.85666
11422,QUEENS,40.659418,-73.736866
11423,QUEENS,40.716888,-73.766897
11426,QUEENS,40.736798,-73.723176
11427,QUEENS,40.729293,-73.749811
11428,QUEENS,40.720639,-73.742099
11429,QUEENS,40.710076,-73.740151
11430,QUEENS,40.655246,-73.797769
11432,QUEENS,40.714531,-73.794435
11433,QUEENS,40.696533,-73.786776
11434,QUEENS,40.674583,-73.78156
11435,QUEENS,40.700229,-73.797278
11436,QUEENS,40.675283,-73.800696
11691,QUEENS,40.601475,-73.76191
11692,QUEENS,40.5923,-73.793273
11693,QUEENS,40.59846,-73.81427
11694,QUEENS,40.57661,-73.84276
11695,QUEENS,40.558267,-73.913357
11697,QUEENS,40.559365,-73.906713
